index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
2258,2259,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์,1,27,506,1,170,33
2259,2260,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์,2,171,531,1,280,52
2260,2261,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์,3,139,506,1,180,35
2261,2262,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนโฆสิตสโมสร ซอยวัดระฆัง ถนนอรุณอมรินทร์,4,124,515,1,200,38
2262,2263,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนสตรีวัดระฆัง ซอยวัดระฆัง ถนนอรุณอมรินทร์,5,195,630,2,579,91
2263,2264,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,เต็นท์โรงเรียนสตรีวัดระฆัง ซอยวัดระฆัง ถนนอรุณอมรินทร์,6,193,614,1,400,65
2264,2265,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32,7,117,519,1,450,86
2265,2266,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32,8,105,513,0,0,0
2266,2267,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32,9,118,505,0,0,0
2267,2268,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนวัดสุวรรณาราม ซอยจรัญสนิทวงศ์ 32,10,105,488,0,0,0
2268,2269,Zone05,1020,102004,ศิริราช,เขตบางกอกน้อย,โรงเรียนสุวรรณารามวิทยาคม ซอยจรัญสนิทวงศ์ 32,11,200,690,0,0,0
