index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
1887,1888,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9,1,454,645,3,306,47
1888,1889,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9,2,414,685,0,0,0
1889,1890,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9,3,497,656,3,197,30
1890,1891,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9,4,453,540,1,69,12
1891,1892,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ที่จอดรถ บริษัท ท็อปโมสต์ ออโต้ อิมพอร์ต จำกัด ถนนพระราม 9,5,578,708,0,0,0
1892,1893,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก,6,230,600,0,0,0
1893,1894,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก,7,426,599,3,224,37
1894,1895,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก,8,415,673,1,39,5
1895,1896,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก,9,630,731,1,85,11
1896,1897,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ รัชดา ถนนรัชดาภิเษก,10,527,630,2,336,53
1897,1898,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ลานจอดรถ แมนชั่นเซเว่น ถนนรัชดาภิเษก,11,220,648,1,74,11
1898,1899,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,ที่จอดรถ บริษัท โตโยต้า เค มอเตอร์ จำกัด ซอยประชาราษฎร์บำเพ็ญ 3,12,288,623,3,392,62
1899,1900,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,ที่จอดรถ บริษัท โตโยต้า เค มอเตอร์ จำกัด ซอยประชาราษฎร์บำเพ็ญ 3,13,355,692,2,132,19
1900,1901,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,ที่จอดรถ บริษัท โตโยต้า เค มอเตอร์ จำกัด ซอยประชาราษฎร์บำเพ็ญ 3,14,199,507,2,41,8
1901,1902,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,ลานจอดรถ ฐมศรแมนชั่น ซอยประชาราษฎร์บำเพ็ญ 14,15,325,731,1,73,9
1902,1903,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ปากซอยประชาราษฎร์บำเพ็ญ 6 ย้ายมาจาก(ลานจอดรถ โรงแรมรัชดาซิตี้ ซอยประชาราษฎร์บำเพ็ญ 6),16,183,490,0,0,0
1903,1904,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ปากซอยประชาราษฎร์บำเพ็ญ 6ย้ายมาจาก(ลานจอดรถ โรงแรมรัชดาซิตี้ ซอยประชาราษฎร์บำเพ็ญ 6),17,238,617,1,59,9
1904,1905,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ลานกีฬา สวนราษฎร์บำเพ็ญ ซอยประชาราษฎร์บำเพ็ญ 11,18,231,683,3,447,65
1905,1906,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ลานกีฬา สวนราษฎร์บำเพ็ญ ซอยประชาราษฎร์บำเพ็ญ 9,19,251,783,3,75,9
1906,1907,Zone01,1017,101701,ห้วยขวาง,เขตห้วยขวาง,เต็นท์ลานจอดรถฝ่ายรักษาความสะอาดและสวนสาธารณะ(ย้ายมาจาก เต็นท์ร้านออโต้ โทรนิค),20,201,506,2,196,38
